Institution,State,No. of visas revoked,Source link
Eastern Michigan University,Michigan,2,"<a  href=""https://www.mlive.com/news/ann-arbor/2025/04/visas-revoked-for-2-eastern-michigan-international-students.html?e=2cf59ca45d4ba34954636aadfa927005&lctg=64a19a05d91592783c09096f&utm_source=Sailthru&utm_medium=email&utm_campaign=Newsletter_aa_breaking&utm_term=Newsletter_aa_breaking"">Click  here</a>"
Grand Valley University,Michigan,4,"<a  href=""https://www.mlive.com/news/grand-rapids/2025/04/2-international-students-at-grand-valley-have-visas-revoked-by-trump-administration.html"">Click  here</a>"
Michigan State University,Michigan,12,"<a  href=""https://www.bridgemi.com/talent-education/70-international-students-face-deportation-michigan-trump-wont-say-why"">Click  here</a>"
Oakland University,Michigan,4,"<a  href=""https://www.mlive.com/news/grand-rapids/2025/04/2-international-students-at-grand-valley-have-visas-revoked-by-trump-administration.html"">Click  here</a>"
Saginaw Valley State  University,Michigan,1,"<a  href=""https://www.ourmidland.com/news/article/visas-cmu-international-students-one-svsu-20263233.php"">Click  here</a>"
University of  Michigan-Dearborn,Michigan,6,"<a  href=""https://www.mlive.com/news/grand-rapids/2025/04/2-international-students-at-grand-valley-have-visas-revoked-by-trump-administration.html"">Click  here</a>"
University of Michigan,Michigan,22,"<a  href=""https://www.freep.com/story/news/education/2025/04/09/more-foreign-students-targeted-for-deportation/83013237007/"">Click  here</a>"
University of Michigan-Flint,Michigan,3,"<a  href=""https://www.mlive.com/news/grand-rapids/2025/04/2-international-students-at-grand-valley-have-visas-revoked-by-trump-administration.html"">Click  here</a>"
Wayne State University,Michigan,12,"<a  href=""https://www.bridgemi.com/talent-education/70-international-students-face-deportation-michigan-trump-wont-say-why"">Click  here</a>"
Western Michigan University,Michigan,4,"<a  href=""https://wwmt.com/news/local/wmu-international-students-sevis-terminated-status-visas-michigan-education-immigration-wwmt"">Click  here</a>"
"Concordia University, St. Paul",Minnesota,5,"<a href=""https://kstp.com/kstp-news/top-news/5-concordia-university-graduates-sue-dhs-ice-over-revoked-visas/"">Click here</a><br>"
Metropolitan State University,Minnesota,1,"<a  href=""https://sahanjournal.com/education/msu-mankato-international-students-visas-revoked/"">Click  here</a>"
"Minnesota State University,  Mankato",Minnesota,5,"<a  href=""https://kstp.com/kstp-news/top-news/student-visas-for-5-international-students-at-mankato-state-terminated-president-says/"">Click  here</a>"
